#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To: (sector in column),"D01T03: Agriculture, forestry and fishing",D05T06: Mining and extraction of energy producing products,D07T08: Mining and quarrying of non-energy producing products,D09: Mining support service activities,"D10T12: Food products, beverages and tobacco","D13T15: Textiles, wearing apparel, leather and related products",D16: Wood and products of wood and cork,D17T18: Paper products and printing,D19: Coke and refined petroleum products,D20T21: Chemicals and pharmaceutical products,D22: Rubber and plastic products,D23: Other non-metallic mineral products,D24: Basic metals,D25: Fabricated metal products,"D26: Computer, electronic and optical products",D27: Electrical equipment,"D28: Machinery and equipment, nec","D29: Motor vehicles, trailers and semi-trailers",D30: Other transport equipment,D31T33: Other manufacturing; repair and installation of machinery and equipment,"D35T39: Electricity, gas, water supply, sewerage, waste and remediation services",D41T43: Construction,D45T47: Wholesale and retail trade; repair of motor vehicles,D49T53: Transportation and storage,D55T56: Accomodation and food services,"D58T60: Publishing, audiovisual and broadcasting activities",D61: Telecommunications,D62T63: IT and other information services,D64T66: Financial and insurance activities,D68: Real estate activities,D69T82: Other business sector services,D84: Public admin. and defence; compulsory social security,D85: Education,D86T88: Human health and social work,"D90T96: Arts, entertainment, recreation and other service activities",D97T98: Private households with employed persons,HFCE: Final consumption expenditure of households,NPISH: Final consumption expenditure of non-profit institutions serving households,GGFC: Final consumption expenditure of general government,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),IMPO: Imports (cross border)
"TTL_01T03: Agriculture, forestry and fishing","64,476.7 ",0.9 ,0.4 ,21.0 ,"1,03,501.1 ","12,874.9 ","5,401.9 ","2,852.7 ",81.1 ,"4,403.5 ","1,459.3 ",75.2 ,4.4 ,0.8 ,0.6 ,1.3 ,1.1 ,79.2 ,7.6 ,"1,471.0 ",361.0 ,"3,959.3 ","4,704.8 ",169.9 ,"9,023.4 ",5.5 ,13.5 ,1.2 ,6.1 ,0.2 ,"1,966.0 ","1,879.4 ",0.1 ,344.7 ,716.7 ,0.0 ,"2,36,888.2 ",0.0 ,0.2 ,"2,253.1 ","1,166.0 ",77.4 ,237.4 ,"4,844.3 ","-5,373.2 "
TTL_05T06: Mining and extraction of energy producing products,7.4,3194.4,55.7,301.8,75.3,120.7,7.8,78.4,95013.2,573.1,17.6,848.9,10813.3,15.3,0.2,4.1,97.9,150,13.7,37.4,23008.2,73.1,262.2,79.5,202.6,3.1,38.7,0.5,3.4,0.2,86.1,1.4,0.5,95.5,189.9,0,434.9,0,2.5,14.1,3.7,3.3,0,189,-87021.3
TTL_07T08: Mining and quarrying of non-energy producing products,14.8 ,36.8 ,972.8 ,38.4 ,0.4 ,2.8 ,0.3 ,7.1 ,4.3 ,19.2 ,5.7 ,"4,339.2 ","19,476.1 ",354.1 ,20.9 ,157.1 ,111.4 ,103.6 ,25.2 ,309.3 ,74.7 ,"8,452.7 ",98.5 ,0.8 ,10.6 ,0.1 ,4.1 ,0.2 ,0.2 ,0.0 ,46.6 ,0.3 ,0.1 ,1.6 ,40.4 ,0.0 ,5.5 ,0.0 ,0.1 ,1.7 ,-5.3 ,1.9 ,0.0 ,"1,817.8 ","-18,739.8 "
TTL_09: Mining support service activities,1448,4310.8,788.5,747.6,92.8,0.1,6.2,40,332.9,71.4,98.4,72.3,22.5,2,0.1,0.4,61.7,1.8,0.9,42.4,854.9,3256.4,0.7,55.8,0.3,0,0,0.1,0.5,0,8.2,176.1,64.8,1.5,1.6,0,0.5,0,638.8,0.7,1.9,0.3,0,202.3,-138.1
"TTL_10T12: Food products, beverages and tobacco","6,491.7 ",45.4 ,25.2 ,4.6 ,"9,159.8 ",460.6 ,13.3 ,69.7 ,377.7 ,"2,175.2 ",402.0 ,100.6 ,174.5 ,41.7 ,26.4 ,59.3 ,53.6 ,117.3 ,34.5 ,88.8 ,162.4 ,307.5 ,"1,193.1 ",32.5 ,"11,382.6 ",20.0 ,30.7 ,15.3 ,22.6 ,14.2 ,449.7 ,"1,136.4 ",22.4 ,445.8 ,867.1 ,0.0 ,"1,49,831.6 ",0.1 ,3.1 ,132.9 ,81.4 ,305.9 ,946.0 ,"17,424.4 ","-18,953.7 "
"TTL_13T15: Textiles, wearing apparel, leather and related products",600.6,132.4,63.9,20,137.6,38828.2,75.3,260.2,661.5,2657,1296.7,273.5,258.1,104.5,76.5,192.3,193.9,1369.2,197.1,2660.7,174,1760.5,1138.6,267.6,374.5,106.5,57,79.1,341.7,28.1,824.3,728.3,106,383.4,672.9,0,64794.4,0,0.3,451.3,228.2,136.4,658.2,37088.3,-9330.2
TTL_16: Wood and of products of wood and cork (except furniture),124.9 ,100.2 ,40.3 ,4.3 ,46.7 ,139.8 ,766.3 ,171.7 ,46.8 ,115.2 ,68.1 ,137.2 ,35.3 ,61.3 ,26.7 ,47.2 ,77.7 ,219.7 ,33.9 ,"2,368.1 ",19.9 ,"6,603.7 ",173.9 ,12.3 ,49.2 ,14.4 ,20.0 ,12.9 ,19.1 ,3.2 ,119.2 ,22.7 ,21.1 ,21.6 ,120.8 ,0.0 ,"2,378.9 ",0.0 ,0.2 ,344.6 ,42.1 ,10.0 ,43.1 ,"1,159.6 ",-879.1 
TTL_17T18: Paper products and printing,270.1,63.2,60.1,6.1,1432.3,980.6,88.1,6313.4,246.3,1302.2,531.9,620.7,153.2,139.5,147.2,275.7,315.6,510.9,86.6,706.3,369.9,1050.5,1720.1,572.8,529.5,2258.1,417.3,1087.2,1803,185.9,1364,1353.7,1328.2,227,677.3,0,1749,0.4,11.8,457.6,46.3,41.1,76.9,1396.8,-5039
TTL_19: Coke and refined petroleum products,"7,263.2 ","1,768.1 ","1,581.6 ",270.6 ,991.3 ,"2,985.2 ",163.7 ,517.0 ,"29,068.8 ","12,582.8 ","1,752.6 ","2,757.4 ","5,131.1 ",438.2 ,202.3 ,539.3 ,698.5 ,991.4 ,499.4 ,958.5 ,"8,672.0 ","13,649.4 ","4,155.9 ","38,206.5 ",821.1 ,224.2 ,693.5 ,"1,016.2 ","1,730.3 ",685.7 ,"3,606.1 ","3,787.9 ","1,286.3 ",486.2 ,"1,264.5 ",0.0 ,"35,152.9 ",0.0 ,0.4 ,588.9 ,233.1 ,93.2 ,270.4 ,"23,636.9 ","-7,247.4 "
TTL_20T21: Chemicals and pharmaceutical products,9566.2,1046,527.8,85.6,1208.7,14474,357.4,1738.6,11014.1,46156.3,12530.3,2726.7,3909.4,926.1,719.6,1608.1,1197.4,2945,645.8,2592.3,611.9,8313.6,1542.9,451.5,587.3,195.4,124.7,60,41.1,24.1,1599.2,2202.7,49.3,7495.1,1767.4,0,24414.9,0.1,2.2,1228.8,320.7,72.4,205.6,34364,-49682.9
